Query,Average Time (seconds)_1,Average Time (seconds)_10,Average Time (seconds)_100,Average Time (seconds)_1000
Query1,0.0002161192857142843,0.0009839522857142719,0.012532678571428337,0.06212033914285696
Query3,0.0003083868571428664,0.0011019640000000028,0.010121327428571953,0.06457259528571464
Query4,0.0008295714285714137,0.0030764048571427466,0.028252833285714627,0.18066761314285884
Query5,0.0023622680000000085,0.0049983038571428705,0.0338052679999998,0.29460635714286
Query6,0.0012853750000000172,0.004995089428571424,0.04742264314285676,0.29644594042857314
Query7,0.002051785714285722,0.005657791714285677,0.037508130857142774,0.3063259761428583
Query8,0.00014173200000002138,0.0004134045714284821,0.003496220285714407,0.037460970285713255
Query9,0.00034561299999994307,0.0012346608571428394,0.010934577142857347,0.06352190471428847
Query10,0.020734518000000004,0.08193428585714305,0.8199861724285713,6.0060892620000015
Query11,0.00026977371428569895,0.0006471192857141642,0.004423339285713622,0.04604626214286002
Query12,0.0005399821428571412,0.0023517797142857005,0.022000059714286074,0.12058464271428347
Query13,0.00037296428571430084,0.001354815571428501,0.011558030000000028,0.10017178571428685
Query14,0.00016801214285717364,0.00030722585714279153,0.001991827285714517,0.018660678857141226
Query15,0.0001728155714285481,0.0004798511428571065,0.003260613142857289,0.1009793332857153
Query16,0.0027909344285713517,0.003627243857142875,0.004086559571427831,0.004130250142852431
Query17,0.0018027735714285825,0.0021327022857143036,0.0024893392857143126,0.002031071428573585
Query18,0.0026992442857142673,0.002742559571428644,0.00402091685714266,0.002807142999996261
Query19,0.0016949820000000354,0.0018033155714285748,0.0028972498571427758,0.00187870814286027
Query20,0.0015737621428571571,0.001681374999999985,0.0026900058571430107,0.0018697677142824887
Query21,0.0019204940000000662,0.0030978452857142813,0.017132214285714147,0.14109948814285644
Query22,3.154714285738943e-06,0.0004089997142856992,0.0073627082857140435,0.04375234514285913
