Query,Average Time (seconds)_1,Average Time (seconds)_10,Average Time (seconds)_100,Average Time (seconds)_1000
Query1,0.0003736294,0.0010377624999999,0.0113830874999997,0.0619530790000006
Query3,0.002931075,0.0032308330999999,0.0101068959000003,0.0684122333000004
Query4,0.0009964290999999,0.0032216083999999,0.0281211876000002,0.1806935416000016
Query5,0.0027151125,0.0051914752,0.0334994791999998,0.2983003375000017
Query6,0.00144155,0.0051873166999999,0.0466524835999997,0.2976637415000013
Query7,0.0021351623999999,0.0053916665999999,0.0365225873999999,0.3042889792000004
Query8,0.0001934957,0.0005270622999999,0.0035487542000002,0.0377482125999989
Query9,0.0003537790999999,0.0012107001999999,0.0108756874000001,0.0694048208000019
Query10,0.0210260084999999,0.0831754876000001,0.8158869040999999,5.9815758459
Query11,0.0002952999999999,0.0006657584999999,0.0044335999999995,0.0499363377000015
Query12,0.0007817834999999,0.0026452583,0.0215383251000004,0.1198816748999988
Query13,0.0003839875,0.0013519041999999,0.0116496500999999,0.1004751874
Query14,0.0002191085,0.0003673580999999,0.0020223541000002,0.0188806419999998
Query15,0.0001826292,0.0004780459,0.0033028292000001,0.1016022792000008
Query16,0.0031009374999999,0.0035080623,0.0042387083999995,0.0042251959999973
Query17,0.0018894624,0.00213635,0.0023892832000001,0.0021376584000009
Query18,0.0026381252999999,0.0027535041,0.0036416750999998,0.0028849041999983
Query19,0.0017098041,0.0018267542999999,0.0026073289999998,0.0019116123000024
Query20,0.0015700752,0.0016810333,0.0023950665,0.0018442123999989
Query21,0.0019917874,0.0030746458999999,0.0165109666999998,0.1430741165999983
Query22,2.970899999987786e-06,0.0004047581,0.0073658416999998,0.0434544541000036
