Query,Average Time (seconds)_1,Average Time (seconds)_10,Average Time (seconds)_100,Average Time (seconds)_1000
Query1,0.3189881501000059,1.5041942873999972,13.619288058400002,137.84055583319952
Query3,0.4204406290999983,0.2184007334000085,0.6556985209000231,6.817960149999817
Query4,0.4115282832000005,0.4704670250000106,0.5128745127000229,1.542000312500022
Query5,3.0352383584999933,3.0539417330000047,3.21901482079993,4.163042308200238
Query6,0.6987152792999985,0.7619304043000114,1.0938360290999751,4.964742420599578
Query7,3.2412505585000018,3.1173936166000003,3.282174054099982,4.583127633500226
Query8,0.1419152957999955,0.1525561790999915,0.152114566799969,0.2624804542001584
Query9,0.1368840707999964,0.1407612667000108,0.1807418543000039,0.6367998875000922
Query10,3.152478162699995,3.3920766998999965,4.634722108300025,27.948837370899856
Query11,0.1355817916000042,0.1724592456999971,0.1449155875000087,0.298566716499954
Query12,0.1404531461000004,0.1470261960999863,0.2052510084000232,0.802435578999939
Query13,0.1392758290999964,0.1348087792000058,0.1715181416999485,0.6399459624999508
Query14,0.1363431416999965,0.157650521000005,0.1376154251000116,0.1890129164998143
Query15,0.1364529123999915,0.1400960583,0.141744891500025,0.6555571373999556
Query16,2.7236805794,2.80818452500001,2.610009220900042,2.676971899999808
Query17,2.715210304600004,2.8558697623000118,2.5700848209000013,2.6356052248998822
Query18,2.6794084166999985,2.819999608300003,2.630802229299957,2.5974231918000443
Query19,2.676617804399992,2.921797324899998,2.5495786540999914,2.561608712800444
Query20,2.8205864001999963,2.829857791699999,2.546156624800028,2.637306137500309
Query21,2.7240566083000037,3.1696552294000013,2.622972874999982,2.813480729299772
Query22,4.271660000441102e-05,0.6026395624999878,6.55398876669999,68.0914012498999
