Query,Average Time (seconds)_1,Average Time (seconds)_10,Average Time (seconds)_100,Average Time (seconds)_1000
Query1,0.24593673616666933,1.475033854000003,12.207157326333231,127.07596669449929
Query3,0.5171593821666723,0.22027236816665643,0.22369266650006617,10.323381520666771
Query4,0.3663803124999987,0.4114814719999866,0.4519342985000776,1.1352862703333813
Query5,2.7466861805000016,3.4063113401666762,2.7307457568333953,3.6072736388344615
Query6,0.64116025716667,0.8480789236666672,0.8143531111666865,17.552078597166354
Query7,2.6842944653333376,3.1424600486666776,2.770373611000006,4.7280966248339
Query8,0.12076766650000081,0.24106486116667725,0.13038904166671728,0.28090043766618084
Query9,0.12594336833332895,0.13400573600000598,0.15535370833326093,0.5241637776665206
Query10,3.3195917984999994,3.516060958166667,4.653120097333347,33.29261750700001
Query11,0.12078650666666609,0.13044402100001187,0.13455147933329195,0.28870836116705806
Query12,0.1277631735,0.14841131933332008,0.16599493066667037,0.5830100416672698
Query13,0.1256746316666645,0.1475063471666592,0.15117888916665834,0.4779851805002788
Query14,0.1231709168333263,0.15767578433334015,0.12361936099993424,0.18799784733285682
Query15,0.1275766388333371,0.16863681250000676,0.12594359050001458,0.6060721319990989
Query16,2.351600854166662,3.371434624833327,2.3169381529999478,2.4298128821659097
Query17,2.3522350416666646,3.1675426176666597,2.3233362361666727,2.378963826166
Query18,2.448546430666667,2.6219056945000005,2.302940124833261,2.3676239236665424
Query19,2.4108859581666593,2.612482097333327,2.3039038543333468,2.468873909499962
Query20,2.417296381999994,2.5917241946666585,2.309638125000068,2.423803728999095
Query21,2.48159760433334,2.66702092349999,2.4419189998332818,2.8397606181667165
Query22,7.540949999906843e-05,0.5981403125000023,5.962847242666688,62.35787484733313
